timestamp,duration,core_id,ops,real_time,usr_time,sys_time,ops_per_sec_real,ops_per_sec_cpu
2025-08-30_19:13:34,10,0,14031,10.69,10.2,0.01,1403.1,1374.2409402546525
2025-08-30_19:13:44,10,1,14132,10.0,10.22,0.0,1413.2,1382.7788649706456
2025-08-30_19:13:54,10,2,14083,10.0,10.22,0.0,1408.3,1377.9843444227006
2025-08-30_19:14:05,10,3,14035,10.7,10.21,0.0,1403.5,1374.6327130264444
2025-08-30_19:14:15,10,4,14126,10.0,10.21,0.0,1412.6,1383.5455435847207
2025-08-30_19:14:25,10,5,14021,10.0,10.22,0.0,1402.1,1371.917808219178
2025-08-30_19:14:36,10,6,14008,10.7,10.21,0.0,1400.8,1371.9882468168462
2025-08-30_19:14:46,10,7,13923,10.0,10.21,0.01,1392.3,1362.3287671232877
